id,image,location,depth,date,flagged,remarks
c72da34c-bab0-43b9-99da-3df334ac5cee,https://cwl-images.s3.ap-south-1.amazonaws.com/f70fc4ff0cf09cb1af9109fc5e7ad05e.jpeg,"{""lat"":12.966977010355878,""lng"":80.19413637936617}",47,2023-12-07 10:13:41.244,,Ward 187 buvaneshwari street
72661f9c-d003-47f4-8759-8038e696c2a4,"","{""lat"":13.0399254,""lng"":80.0386912}",145,2023-12-07 10:13:48.875,,""
423e25a0-dbbd-44b4-838a-45021894269f,"","{""lat"":12.9441588,""lng"":80.2375227}",69,2023-12-07 10:16:34.588,,Chest deep water 
70133e38-50c3-49b0-8c26-085cc8d6df3f,"","{""lat"":12.9207478,""lng"":80.1620783}",20,2023-12-07 10:21:24.661,,""
7bb1bd01-ed85-4bf3-aa4f-e118ace4c323,"","{""lat"":12.96336781710703,""lng"":80.19273413858632}",41,2023-12-07 10:23:51.323,,187 ward 
30c50d7e-34e2-40e4-a20b-9a70730dc9e7,"","{""lat"":12.961267738283315,""lng"":80.19587477152932}",28,2023-12-07 10:29:39.045,,187 ward vembuliamman Kovil street
967aa6c4-3523-495d-bba6-c838eb9d9862,"","{""lat"":12.9908296,""lng"":80.2493448}",63,2023-12-07 10:42:54.282,,""
652cc4d4-ae33-45be-88b8-0414baa0e3de,"","{""lat"":9.9243059,""lng"":78.0994099}",44,2023-12-07 10:48:03.495,,""
7df1a9af-0d0f-4bf6-891c-9adcabccfafd,"","{""lat"":9.9243059,""lng"":78.0994099}",19,2023-12-07 10:48:13.589,,""
d8b5ee6f-d646-4ef3-9363-4ac6be05c691,"","{""lat"":12.84036180684852,""lng"":80.22955870386487}",18,2023-12-07 11:00:42.25,,""
016d0461-adc9-4f23-87c6-fc08b35277b6,"","{""lat"":38.883333,""lng"":-77}",70,2023-12-07 11:00:50.685,,""
7d88d084-2112-4b4b-95a1-76fba1941f73,"","{""lat"":40.7275267,""lng"":-74.0031902}",67,2023-12-07 11:01:20.818,,""
c6314f95-0de6-4330-9399-c13bda203b4f,https://cwl-images.s3.ap-south-1.amazonaws.com/7a2c123feb2d756d601da16a7465c7b1.jpeg,"{""lat"":13.0852515,""lng"":80.2328177}",56,2023-12-07 11:05:30.842,,Kilpauk Garden Colony 
d4f6a92e-36f5-4b6f-92e8-fb11d3d12dda,https://cwl-images.s3.ap-south-1.amazonaws.com/4b3dd47f09970d7286e74039ab95d589.jpeg,"{""lat"":13.028216453361903,""lng"":80.24286830834123}",88,2023-12-07 11:11:34.556,,This was the picture taken from boat rescue 
5d3c5594-4912-44cc-b6c7-dbf9a1d84b4a,"","{""lat"":13.0413607,""lng"":80.2689726}",147,2023-12-07 11:16:56.518,,Mylapore 
abc1e234-be55-4d3e-a7a1-467a081262dc,"","{""lat"":12.8403782,""lng"":80.2309462}",23,2023-12-07 11:17:31.435,,""
75aca29e-db9e-4735-b459-c1969b97cdef,https://cwl-images.s3.ap-south-1.amazonaws.com/9f0c4c1595c8304e81e36f75e4020608.jpeg,"{""lat"":12.893592507090188,""lng"":80.23221434158563}",129,2023-12-07 11:17:59.619,,My car parking is 5 feet above road but still water came above car tyer
91065b3b-b132-417c-9acb-ff38d46b8033,"","{""lat"":12.8769701,""lng"":80.216095}",120,2023-12-07 11:21:18.084,,Water started drain yesterday
9bbc29f1-5b14-4d0a-8c1d-d575ecc47e0c,"","{""lat"":12.9777816,""lng"":80.2209664}",42,2023-12-07 11:26:23.323,,""
844627a9-93eb-4673-b313-6995d84dd887,"","{""lat"":13.0769569,""lng"":80.2605325}",39,2023-12-07 11:26:33.525,,""
a8bd6521-76af-4e0f-add0-38ae305223da,"","{""lat"":13.051503703223144,""lng"":80.18282132160338}",45,2023-12-07 11:28:56.464,,""
14dfcbd0-1752-4928-a827-7bb60fb0bc38,"","{""lat"":13.051503703223144,""lng"":80.18282132160338}",50,2023-12-07 11:29:13.464,,""
61c79abd-1885-474b-a206-5bc5798be829,"","{""lat"":13.0331188,""lng"":80.2771565}",78,2023-12-07 11:32:01.934,,""
2fd0fdda-62b8-4c7e-9fe9-c90f0676b9c2,"","{""lat"":13.0331375,""lng"":80.2771529}",81,2023-12-07 11:32:18.054,,""
03dc5ff4-e1ad-47e0-b77a-54851aa9116e,"","{""lat"":12.9165289,""lng"":80.0740678}",200,2023-12-07 11:39:07.083,,""
9de8295f-f8e5-4380-9335-fbe2a655fa07,"","{""lat"":13.0773399,""lng"":80.1646674}",1,2023-12-07 11:41:02.263,,Nothing 
5733e100-4f18-49ae-90ae-87a9091cfd1d,https://cwl-images.s3.ap-south-1.amazonaws.com/bc06db12d9d4d95cedf9953571dd67f1.jpeg,"{""lat"":12.9165289,""lng"":80.0740678}",200,2023-12-07 11:45:11.054,,Totally about 225 cm. Location Thirumalai Nagar Mudichur Chennai-600048 
d3169a90-40a9-4319-b8ce-baaa00dacced,"","{""lat"":12.9091984,""lng"":80.2316754}",24,2023-12-07 11:48:38.828,,""
4eb74134-095f-4fcd-8fc7-343148c3e6ef,"","{""lat"":13.076697552625797,""lng"":80.16177733882556}",30,2023-12-07 11:56:46.153,,Nolambur
c3032078-abee-4d7e-9165-9b0b56d350d6,"","{""lat"":13.076697552625797,""lng"":80.16177733882556}",36,2023-12-07 11:57:07.812,,""
c138edc4-2f0c-4f35-ba2b-72cfd7bed842,"","{""lat"":13.076697552625797,""lng"":80.16177733882556}",45,2023-12-07 11:57:26.809,,Nolambur
7a290256-746c-48c7-b7d5-227af3d54d6c,"","{""lat"":13.0062206,""lng"":80.204273}",23,2023-12-07 11:57:28.333,,No water logging 
8b9f0a53-ef59-40c8-9b93-fbb2d3060289,"","{""lat"":12.8892099,""lng"":80.2433652}",57,2023-12-07 11:57:43.998,,ADITYARAM NAGAR
a32a9280-5805-4d10-86da-a2104302ee98,"","{""lat"":13.0449792,""lng"":79.9756502}",161,2023-12-07 11:59:44.854,,Why Velachery areas are not having proper water drainage
37954697-0fec-49c8-8ece-3be935852c0a,"","{""lat"":13.0449792,""lng"":79.9756502}",181,2023-12-07 12:00:26.273,,Velachery needs proper water drainage
49e21ce5-cdc8-493c-b0c2-6145dd75a8d0,"","{""lat"":12.97440106063946,""lng"":80.21224263321199}",103,2023-12-07 12:05:45.044,,Velachery padmavathy nagar
50272820-382d-4493-9021-1d30ded9273e,"","{""lat"":13.017909,""lng"":80.2064039}",78,2023-12-07 12:12:33.887,,""
6ec29d1a-9216-41be-ac14-5af64f8c6ace,"","{""lat"":13.017909,""lng"":80.2064039}",112,2023-12-07 12:12:44.548,,""
df69774a-84fc-4691-af98-1cc7c7436815,"","{""lat"":13.017909,""lng"":80.2064039}",124,2023-12-07 12:12:59.108,,Water logging 
c7e0671b-2d4f-4ff8-9a26-2589c2664598,"","{""lat"":13.017909,""lng"":80.2064039}",63,2023-12-07 12:13:25.451,,Upto knee level
f41daf2b-bb5e-4a09-8f0b-2c7cd65bd7ee,"","{""lat"":13.017909,""lng"":80.2064039}",64,2023-12-07 12:13:47.249,,63
7db4cbf4-e262-43cb-87a4-5762506c7938,"","{""lat"":13.017909,""lng"":80.2064039}",83,2023-12-07 12:14:06.692,,63 cm
da7858e7-98f0-4f74-9276-7bd044a38ed9,"","{""lat"":13.1094411,""lng"":80.133197}",50,2023-12-07 12:29:32.212,,"Near by ambarhur lake available, no slop road "
a2913dcc-0482-47e3-8ec0-429e0c318d0c,https://cwl-images.s3.ap-south-1.amazonaws.com/ea0c9760f7e4cfa329e386c044d196ae.jpeg,"{""lat"":13.1119026,""lng"":80.2247667}",48,2023-12-07 12:30:54.64,,"Water was flowing in our area keeps increasing, A 11  Venkatesan salai  Periyar Nagar chennai "
406be642-23d5-4c65-89c1-266c4a4cd318,https://cwl-images.s3.ap-south-1.amazonaws.com/49671fbaded71f13783749a1c11c9d18.jpeg,"{""lat"":13.071338053274554,""lng"":80.22107242869869}",60,2023-12-07 12:32:13.003,,Always water log even a small rain occurs 
581b632c-dd6a-40ab-8834-30eb291eef7b,"","{""lat"":13.0133133,""lng"":80.1558557}",66,2023-12-07 12:34:00.781,,""
b8a5e27d-0ca3-4e58-a6f6-4e7556a71379,"","{""lat"":13.0133195,""lng"":80.1558501}",67,2023-12-07 12:34:07.832,,""
10adb79c-337d-4b1b-ad63-e9d0cf53f0ee,"","{""lat"":13.0133195,""lng"":80.1558501}",70,2023-12-07 12:34:12.492,,""
d68b7b60-895e-4cf2-aa0e-d3e0b6966fea,https://cwl-images.s3.ap-south-1.amazonaws.com/87c84c385579f7d780ff288b66e7de44.jpeg,"{""lat"":12.9232589,""lng"":80.187067}",57,2023-12-07 12:34:51.331,,""
8727eaa2-3bfd-40f7-8cf1-9783f3b2ea4d,"","{""lat"":12.9232589,""lng"":80.187067}",44,2023-12-07 12:35:05.191,,""
279f726b-6733-4390-80de-b980050b810e,"","{""lat"":12.9232589,""lng"":80.187067}",41,2023-12-07 12:36:04.187,,""
82d76556-33aa-4a4b-8cbc-313a2ff8571e,"","{""lat"":13.0609304,""lng"":80.2212255}",65,2023-12-07 12:56:28.87,,""
4adb0d2e-bd33-432b-b051-e194d33cd3a8,"","{""lat"":13.0608653,""lng"":80.2212262}",65,2023-12-07 12:56:36.648,,""
76f280a4-4da7-4063-91ca-159188505fe1,"","{""lat"":13.0608711,""lng"":80.2212265}",61,2023-12-07 12:56:44.448,,""
ee0277c5-a809-49c9-8543-4121c465cfa7,"","{""lat"":13.1190332,""lng"":80.284074}",41,2023-12-07 13:05:07.393,,""
5bb99ddf-86ec-47a7-a274-7e4022b1e936,"","{""lat"":13.044868073461013,""lng"":80.23927326505196}",10,2023-12-07 13:06:11.389,,""
a8e85309-84fb-44a3-94db-cbcaafba5618,https://cwl-images.s3.ap-south-1.amazonaws.com/6bf5458b4acab6cce88da021f7c3d8c1.jpeg,"{""lat"":13.0441494,""lng"":80.1858584}",51,2023-12-07 13:14:41.126,,""
7c42a397-bc60-4b85-baae-a1dcca60491b,"","{""lat"":13.0441494,""lng"":80.1858584}",58,2023-12-07 13:14:51.431,,""
6c6e3e70-6507-4fdd-aa05-044994b5ce77,https://cwl-images.s3.ap-south-1.amazonaws.com/a71bb53765c064209891c4ef59db5582.jpeg,"{""lat"":13.0441494,""lng"":80.1858584}",49,2023-12-07 13:15:12.997,,""
